Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-05-06,133.9,137.0,131.32,131.98,3776111.0,
2025-05-07,132.7699,132.8899,127.75,129.57,2549974.0,
2025-05-08,130.48,137.33,130.48,136.18,2554974.0,
2025-05-09,138.0,139.35,136.65,137.89,1944506.0,
2025-05-12,144.84,147.75,142.07,142.92,2264663.0,
2025-05-13,143.61,147.69,142.9,146.17,2010165.0,
2025-05-14,144.53,145.95,143.98,144.82,1621508.0,
2025-05-15,140.19,142.02,138.52,141.95,2596057.0,
2025-05-16,142.77,142.77,139.22,141.13,2291949.0,
2025-05-19,139.93,140.24,137.6201,139.35,1476615.0,
2025-05-20,139.18,139.8183,137.44,138.35,1104870.0,
2025-05-21,138.35,138.67,136.12,136.31,1650204.0,
2025-05-22,134.76,136.86,132.2,136.29,1929303.0,
2025-05-23,134.31,136.62,133.75,135.86,1766269.0,
2025-05-27,137.79,138.1124,135.54,137.49,1787327.0,
2025-05-28,139.22,139.22,135.94,136.28,1904852.0,
2025-05-29,137.47,138.19,136.13,137.81,2103329.0,
2025-05-30,136.64,136.705,133.75,134.55,4362973.0,
2025-06-02,138.45,139.03,135.86,137.59,2118545.0,
2025-06-03,138.0,143.3,135.875,142.28,2770727.0,
2025-06-04,142.14,144.0,138.38,139.35,2443969.0,
2025-06-05,140.26,140.4,136.83,137.45,2064417.0,
2025-06-06,139.27,141.2075,139.0,140.56,1776691.0,
2025-06-09,141.42,143.32,140.35,142.13,1735560.0,
2025-06-10,143.0,147.56,142.75,145.57,2282275.0,
2025-06-11,145.8,149.36,144.3,148.92,3217732.0,
2025-06-12,147.15,149.39,145.89,149.33,1758740.0,
2025-06-13,157.34,158.0,152.5221,154.91,5208059.0,
2025-06-16,154.14,155.2168,148.83,151.03,3828747.0,
2025-06-17,153.07,156.03,151.11,152.93,3360019.0,
2025-06-18,153.43,155.11,148.44,148.78,2978502.0,
2025-06-20,150.33,150.7,148.11,148.85,4309676.0,
2025-06-23,151.0,151.0,140.78,141.15,4574211.0,
2025-06-24,138.28,141.23,137.1,139.35,3222743.0,
2025-06-25,139.02,140.64,137.74,138.04,2068612.0,
2025-06-26,138.715,141.6,137.77,140.87,1582120.0,
2025-06-27,140.59,141.32,138.986,139.77,2781654.0,
2025-06-30,139.16,139.16,136.95,137.4,2386187.0,
2025-07-01,137.8,141.9,136.4,140.2,2014180.0,
2025-07-02,141.97,142.87,138.95,141.97,1852564.0,
2025-07-03,141.7,142.21,140.25,140.9,1199623.0,
2025-07-07,140.29,141.205,135.99,137.92,1717625.0,
2025-07-08,137.64,145.24,137.345,143.76,2482274.0,
2025-07-09,143.54,144.0,141.51,142.12,1237388.0,
2025-07-10,141.09,143.2,139.36,143.03,1798707.0,
2025-07-11,142.69,145.46,141.94,144.33,1333621.0,
2025-07-14,143.77,143.77,140.3,141.96,1549993.0,
2025-07-15,142.29,142.66,137.84,137.88,2913459.0,
2025-07-16,137.78,138.66,134.66,136.47,2179932.0,
2025-07-17,136.49,141.2583,136.31,140.93,1727925.0,
2025-07-18,143.0,145.09,141.32,141.37,2388591.0,
2025-07-21,141.28,141.67,139.75,139.84,1296646.0,
2025-07-22,140.17,143.45,140.011,141.82,1540618.0,
2025-07-23,142.6,144.08,141.6,143.69,1249124.0,
2025-07-24,143.2,146.17,142.4353,145.3,1851451.0,
2025-07-25,145.6,146.17,143.26,144.61,1035678.0,
2025-07-28,145.99,150.99,145.99,150.52,1686754.0,
2025-07-29,150.52,153.05,149.22,152.5,2587222.0,
2025-07-30,151.61,151.9324,149.49,151.0,2019317.0,
2025-07-31,149.0,152.1999,147.76,148.66,1866087.0,
2025-08-01,148.44,148.9899,144.82,146.14,2830958.0,
2025-08-04,145.0,148.19,144.7,147.78,2536094.0,
2025-08-05,147.78,147.78,140.69,145.68,3845223.0,
2025-08-06,147.0,149.015,142.835,144.36,2171860.0,
2025-08-07,145.63,147.7,140.85,141.12,2202934.0,
2025-08-08,142.0,144.68,140.3,142.03,1684598.0,
2025-08-11,141.0,141.4775,136.2,136.84,3044652.0,
2025-08-12,137.7,140.82,137.1227,138.49,2581321.0,
2025-08-13,138.0,140.18,137.7,139.98,1945530.0,
2025-08-14,139.02,141.08,136.89,140.77,1483461.0,
2025-08-15,140.77,142.66,139.58,140.22,1889863.0,
2025-08-18,139.33,140.17,137.2,139.52,1408173.0,
2025-08-19,138.46,140.64,137.81,138.96,1324184.0,
2025-08-20,139.41,140.45,137.65,137.87,1582167.0,
2025-08-21,137.66,138.98,136.411,138.0,1734838.0,
2025-08-22,138.9,143.79,138.505,143.28,2029218.0,
2025-08-25,143.4,145.56,142.15,145.27,1623166.0,
2025-08-26,144.28,144.5516,142.26,143.96,2046400.0,
2025-08-27,144.16,147.66,143.96,147.06,1987791.0,
2025-08-28,147.61,149.365,145.906,149.17,1061446.0,
2025-08-29,148.51,150.115,148.3,148.76,1214086.0,
2025-09-02,148.46,150.11,146.95,149.86,1558861.0,
2025-09-03,148.015,148.69,141.5202,142.29,1953242.0,
2025-09-04,141.94,143.8,140.54,142.74,1573007.0,
2025-09-05,140.78,142.05,137.07,138.71,1995093.0,
2025-09-08,139.62,139.9,135.65,137.28,2052200.0,
2025-09-09,138.03,139.9,136.23,136.29,2149809.0,
2025-09-10,136.99,140.11,136.12,139.64,2005851.0,
2025-09-11,137.5,139.37,137.0,138.42,1573185.0,
2025-09-12,138.82,140.2,136.84,136.88,1752145.0,
2025-09-15,137.46,137.51,134.3,134.53,3109121.0,
2025-09-16,135.64,140.07,135.59,138.42,2752337.0,
2025-09-17,137.73,142.33,136.5,140.47,2225273.0,
2025-09-18,140.81,141.175,138.705,140.64,1954636.0,
2025-09-19,140.7,140.7,137.7,139.67,4089456.0,
2025-09-22,138.22,139.31,136.13,138.83,2136932.0,
2025-09-23,139.7,146.52,139.7,142.18,2423817.0,
2025-09-24,144.3,148.14,144.205,144.61,1999287.0,
2025-09-25,144.61,147.2,143.9068,145.79,1306450.0,
2025-09-26,146.23,151.0,145.306,148.25,1646335.0,
2025-09-29,146.73,147.15,142.9,143.58,1808446.0,
2025-09-30,141.74,144.13,140.75,143.1,2488447.0,
2025-10-01,141.61,144.44,141.4,143.54,1497543.0,
2025-10-02,142.21,147.695,142.07,143.19,2615026.0,
2025-10-03,143.58,147.91,143.58,147.47,2012327.0,
2025-10-06,149.01,152.49,148.5501,149.1,2499642.0,
2025-10-07,147.7,149.07,145.66,148.91,1358178.0,
2025-10-08,149.15,149.8697,146.49,149.07,1399947.0,
2025-10-09,149.81,151.5,144.02,144.21,1480954.0,
2025-10-10,141.67,143.14,139.69,139.82,2134481.0,
2025-10-13,142.23,143.09,140.75,142.11,1527368.0,
2025-10-14,139.39,143.1,139.0,141.83,1751736.0,
2025-10-15,143.19,144.2,140.8,141.94,1105747.0,
2025-10-16,142.61,143.355,137.25,139.44,1915167.0,
2025-10-17,139.65,140.04,137.58,139.09,1541224.0,
2025-10-20,139.9,141.97,139.4,141.19,2216565.0,
2025-10-21,141.38,142.135,139.5,141.53,1410182.0,
2025-10-22,143.1,144.9,140.83,142.28,2404198.0,
2025-10-23,147.62,149.38,146.5,147.17,2477868.0,
2025-10-24,147.76,148.37,145.2,145.86,1434440.0,
2025-10-27,146.5,147.66,143.9,144.4,1389658.0,
2025-10-28,143.64,143.95,140.41,141.14,1140655.0,
2025-10-29,140.69,145.36,140.69,143.63,1473434.0,
2025-10-30,143.63,144.6108,141.91,142.15,1392066.0,
2025-10-31,142.1,144.503,141.91,143.19,1653802.0,
2025-11-03,143.25,143.6699,139.84,141.27,1964266.0,
2025-11-04,141.59,141.59,137.5,139.42,2390402.0,
2025-11-05,139.2,140.8203,137.03,137.29,1830671.0,
2025-11-06,138.49,143.085,138.335,140.77,2062922.0,
2025-11-07,141.94,144.63,139.65,143.65,1564849.0,
2025-11-10,144.47,145.7599,142.27,144.73,1332794.0,
2025-11-11,146.22,149.97,144.82,148.15,1432672.0,
2025-11-12,148.0,148.6327,145.68,146.17,1295040.0,
2025-11-13,145.1,147.1788,143.43,144.38,1602092.0,
2025-11-14,144.82,149.82,143.14,149.2,2002195.0,
2025-11-17,148.68,149.0,145.831,146.37,1272003.0,
2025-11-18,145.56,151.35,144.44,149.58,1853536.0,
2025-11-19,145.7,149.105,144.52,148.69,1365550.0,
2025-11-20,149.41,154.4899,146.11,146.25,1963084.0,
2025-11-21,145.91,148.07,143.89,146.44,1873683.0,
2025-11-24,145.85,148.46,143.5701,147.64,1776553.0,
2025-11-25,146.08,147.63,144.79,147.02,1341771.0,
2025-11-26,147.3,150.68,146.58,149.31,1379616.0,
2025-11-28,149.31,153.41,149.04,152.59,749288.0,
2025-12-01,152.76,158.7299,152.33,156.16,2404202.0,
2025-12-02,156.0,157.15,153.89,155.98,1820937.0,
2025-12-03,156.8,159.39,156.8,158.38,1638773.0,
2025-12-04,158.15,161.13,158.0,159.51,1653085.0,
2025-12-05,159.64,164.44,158.5,158.6,2048107.0,
2025-12-08,157.71,160.19,156.57,157.52,1215504.0,
2025-12-09,156.92,159.72,156.6,158.17,1370070.0,
2025-12-10,158.54,160.645,155.88,160.28,1817335.0,
2025-12-11,158.06,160.86,155.665,157.04,1902458.0,
2025-12-12,158.13,159.145,156.09,156.68,1515097.0,
2025-12-15,157.43,157.43,151.54,154.06,1897844.0,
2025-12-16,151.66,152.135,146.43,149.06,2939396.0,
2025-12-17,150.65,154.94,149.785,154.07,2313287.0,
2025-12-18,153.43,153.77,146.1701,147.0,2178282.0,
2025-12-19,146.92,150.92,146.66,148.13,3981339.0,
2025-12-22,150.11,153.19,148.43,148.46,1318237.0,
2025-12-23,148.74,149.77,147.185,148.16,1041266.0,
2025-12-24,147.96,147.96,146.43,146.91,667507.0,
2025-12-26,146.73,146.8,144.8,146.31,985327.0,
2025-12-29,147.75,149.42,147.42,148.57,1398299.0,
2025-12-30,149.86,152.3,149.44,151.25,1552141.0,
2025-12-31,151.25,151.75,149.945,150.33,1202263.0,
2026-01-02,151.095,153.66,148.68,152.34,1370622.0,
2026-01-05,153.73,154.5799,143.55,146.99,2598239.0,
2026-01-06,148.3,148.37,143.66,144.47,1892862.0,
2026-01-07,143.87,144.95,139.41,140.45,2492131.0,
2026-01-08,140.75,149.8,140.75,147.66,2497036.0,
2026-01-09,147.38,148.88,145.69,147.075,667224.0,
